,Name,Street Address,Postal Code,Parking Rates
672,One Fullerton - The Fullerton Heritage,1 Fullerton Road,049213,"MON-FRI Before 5/6 PM
$1.07/10min from 7.01am to 6pm 

MON-FRI After 5/6 PM
$6.00/entry from 6.01pm to 12midnight, $7.00/entry from 12.01am to 7.00am the following day 

SAT
$6.00/entry from 7.01am to 12midnight, $7.00/entry from 12.01am to 7.00am the following day 

SUN / PUBLIC HOLIDAYS
$6.00/entry from 7.01am to 12midnight, $7.00/entry from 12.01am to 7.00am the following day 

REMARKS
No grace period, Season Parking At $481.50/mth 

"
673,Safra Yishun Country Club,60 Yishun Avenue 4,769027,"MON-FRI Before 5/6 PM
(For Member): $0.95/hr, (For Public): $2.05/hr, from 6am to 5.59pm 

MON-FRI After 5/6 PM
(For Member): $1.90/entry, (For Public): $4.00/entry from 6pm to 5.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
(For Member): $1.90/entry, (For Public): $4.00/entry from 6am to 5.59am the following day 

"
674,The Cathay,2 Handy Road,229233,"MON-FRI Before 5/6 PM
$1.40/30min from 8am to 9.59am, $1.40/hr from 10am to 5.59pm 

MON-FRI After 5/6 PM
$3.00/entry from 6pm to 7.59am the following day 

SAT
$1.40/hr from 8am to 5.59pm, $3.00/entry from 6pm to 7.59am the following day 

SUN / PUBLIC HOLIDAYS
$1.40/hr from 8am to 5.59pm, $3.00/entry from 6pm to 7.59am the following day 

REMARKS
The Cathay Season Parking At $133.75/mth(Mon to Fri from 7am-7pm), Mount Sophia Season Parking At $181.90/mth(24hr) 

"
675,West Coast Recreation Centre,12 West Coast Walk,127157,"MON-FRI Before 5/6 PM
$0.50/30min from 6.30am to 6pm 

MON-FRI After 5/6 PM
$2.00/entry from 6pm to 3am the following day, $5.00/entry from 3am to 6.30am 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
676,Central Square,20 Havelock Road,059765,"MON-FRI Before 5/6 PM
$2.50/hr from 7am to 4.59pm 

MON-FRI After 5/6 PM
$3.50/entry from 5pm to 6.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.50/entry from 7am to 6.59am the following day 

REMARKS
Season Parking At $120.00/mth 

"
677,JTC Blk 3014A / 3015A Ubi Road 1,3014A Ubi Road 1,408703,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 10pm 

MON-FRI After 5/6 PM
$2.00/entry from 10.01pm to 6.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$2.00/entry from 7am to 6.59am the following day 

REMARKS
Season Parking At $45.00/mth 

"
678,Tagore 23 Warehouse,23 Tagore Lane,787601,"MON-FRI Before 5/6 PM
$1.33 for 1st hr, $0.74 for next subsequent 30min from 7.01am to 6pm 

MON-FRI After 5/6 PM
$2.62/entry from 6.01pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$2.62/entry from 7.01am to 7am the following day 

REMARKS
10min grace period 

"
679,Tong Lee Building,35 Kallang Pudding Road,349314,"MON-FRI Before 5/6 PM
$1.40 for 1st hr, $0.70 for next subsequent 30min 

MON-FRI After 5/6 PM
$2.00/entry 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Closed 

"
680,Lam Seng Building,Playfair Road,,"MON-FRI Before 5/6 PM
$1.20/30min 

MON-FRI After 5/6 PM
$2.00/entry 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Closed 

"
681,Edinburg Tower,18 Edinburg Road,909188,"MON-FRI Before 5/6 PM
$2.10 for 1st hr, $1.05 for next subsequent 30min 

MON-FRI After 5/6 PM
$3.00/entry 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.00/entry 

"
682,Advantech Industrial Building,17 Sims Drive,,"MON-FRI Before 5/6 PM
Carpark is closed 

MON-FRI After 5/6 PM
Carpark is closed 

SAT
Carpark is closed 

SUN / PUBLIC HOLIDAYS
Carpark is closed 

"
683,Luxton Building,10 Sims Drive,,"MON-FRI Before 5/6 PM
$2.10 for 1st hr, $1.05 for next subsequent 30min 

MON-FRI After 5/6 PM
$2.00/entry 

SAT
$2.00/entry 

SUN / PUBLIC HOLIDAYS
$2.00/entry 

"
684,Westinton Building,6 Ang Mo Kio Industrial Park 2,568012,"MON-FRI Before 5/6 PM
$2.10 for 1st hr, $1.05 for next subsequent 30min from 8am to 5pm 

MON-FRI After 5/6 PM
$3.00/entry from 5pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 8am to 8am the following day 

"
685,Technolink Centre,430 Chai Chee Road,469000,"MON-FRI Before 5/6 PM
$1.00/30min from 8am to 5pm 

MON-FRI After 5/6 PM
$1.50/entry from 5pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$1.50/entry 

"
686,Tagore Industrial Building,6 Tagore Drive,787623,"MON-FRI Before 5/6 PM
$0.60/30min from 8am to 4.59pm 

MON-FRI After 5/6 PM
$2.40/entry from 5pm to 7.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
687,Katong Village,86 East Coast Road,428788,"MON-FRI Before 5/6 PM
$1.00/hr from 8am to 5pm 

MON-FRI After 5/6 PM
$1.00/hr from 5pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period 

"
688,AMK Autopoint,10 Ang Mo Kio Industrial Park 2A,568047,"MON-FRI Before 5/6 PM
$2.00/entry from 12midnight to 7am, $0.50 for next subsequent 30min from 7am to 10.30pm 

MON-FRI After 5/6 PM
$2.00/entry from 10.30pm to 12midnight 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$2.00/entry from 12midnight to 7am, free parking from 7am to 10.30pm, $2.00/entry from 10.30pm to 12midnight 

REMARKS
5min grace period 

"
689,JTC Blk 970 / 998 Toa Payoh North,970 Toa Payoh North,318992,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 10pm 

MON-FRI After 5/6 PM
$2.00/entry from 10pm to 6.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$2.00/entry from 7am to 6.59am the following day 

"
690,The Aries,51 Science Park Road,117586,"MON-FRI Before 5/6 PM
$1.60 for 1st hr, $1.07 for next subsequent 30min from 7.30am to 7.30pm 

MON-FRI After 5/6 PM
Free parking from 7.30pm to 7.30am the following day 

SAT
Closed 

SUN / PUBLIC HOLIDAYS
Closed 

REMARKS
10min grace period 

"
691,Techview,1 Kaki Bukit View,415941,"MON-FRI Before 5/6 PM
$2.14 for 1st hr, $1.60 for next subsequent 30min from 8am to 10pm 

MON-FRI After 5/6 PM
$2.14 for 1st hr, $1.60 for next subsequent 30min from 8am to 10pm 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period 

"
692,The Gemini,41 Science Park Road,117610,"MON-FRI Before 5/6 PM
$1.60 for 1st hr, $1.07 for next subsequent 30min from 7.30am to 7.30pm 

MON-FRI After 5/6 PM
$1.60 for 1st hr, $1.07 for next subsequent 30min from 7.30am to 7.30pm 

SAT
Closed 

SUN / PUBLIC HOLIDAYS
Closed 

REMARKS
10min grace period 

"
693,Sea Sports Centre,11 Changi Coast Walk,499740,"MON-FRI Before 5/6 PM
Free Parking 

MON-FRI After 5/6 PM
Free Parking 

SAT
Free Parking 

SUN / PUBLIC HOLIDAYS
Free Parking 

"
694,Comcentre / SingTel Building,31 Exeter Road,239732,"MON-FRI Before 5/6 PM
$3.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 6pm 

MON-FRI After 5/6 PM
$3.00/entry from 6pm to 11pm, $15.00/entry from 11pm to 7am the following day 

SAT
$3.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 1pm, $3.00 for 1st 2hr, $1.00 for next subsequent 30min from 1pm to 11pm, $15.00/entry from 11pm to 7am. 

SUN / PUBLIC HOLIDAYS
$3.00 for 1st 2 hr, $1.00 for next subsequent 30min from 7am to 11pm, $15.00/entry from 11pm to 7am the following day 

REMARKS
10min grace period is not valid during per entry period, Car Park closes at 10pm on weekends and public holidays 

"
695,The Aquarius,21 Science Park Road,117628,"MON-FRI Before 5/6 PM
$0.56 for 1st hr, $1.07 for next subsequent hr from 7.30am to 7.30pm 

MON-FRI After 5/6 PM
$0.56 for 1st hr, $1.07 for next subsequent hr from 7.30am to 7.30pm 

SAT
Closed 

SUN / PUBLIC HOLIDAYS
Closed 

REMARKS
10min grace period 

"
696,Teletech Park (Basement Car Park),20 Science Park Road,117674,"MON-FRI Before 5/6 PM
$1.20/hr from 8am to 8pm 

MON-FRI After 5/6 PM
$1.20/hr from 8am to 8pm 

SAT
Closed 

SUN / PUBLIC HOLIDAYS
Closed 

REMARKS
15min grace period 

"
697,The Alpha (Science Park II),10 Science Park Road,117684,"MON-FRI Before 5/6 PM
$1.60 for 1st hr, $1.20 for next subsequent hr from 7.30am to 7.30pm 

MON-FRI After 5/6 PM
$1.60 for 1st hr, $1.20 for next subsequent hr from 7.30am to 7.30pm 

SAT
$1.60 for 1st hr, $1.20 for next subsequent hr from 7.30am to 7.30pm 

SUN / PUBLIC HOLIDAYS
Closed 

"
698,Rutherford Building,89 Science Park Drive,118261,"MON-FRI Before 5/6 PM
$1.60 for 1st hr, $1.07 for next subsequent 30min from 8am to 5pm 

MON-FRI After 5/6 PM
$1.60 for 1st hr, $1.07 for next subsequent 30min from 5pm to 8am the following day 

SAT
Closed 

SUN / PUBLIC HOLIDAYS
Closed 

REMARKS
15min grace period 

"
699,APS Industrial Building,49 Jalan Pemimpin,577203,"MON-FRI Before 5/6 PM
$1.65/hr from 8am to 4.59pm 

MON-FRI After 5/6 PM
$1.80/entry from 5pm to 7.59am 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period, No grace period after 5pm 

"
700,Techpoint,10 Ang Mo Kio Street 65,569059,"MON-FRI Before 5/6 PM
$2.14 for 1st hr, $1.60 for next subsequent 30min from 8am to 5pm 

MON-FRI After 5/6 PM
$2.14 for 1st hr, $1.60 for next subsequent 30min from 5pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
15min grace period, Maximum charge capped at $12.00 

"
701,National Service Resort Country Club (NSRCC),10 Changi Coast Walk,499739,"MON-FRI Before 5/6 PM
(For Member): Free, (For Public): $2.15/entry from 6am to 5pm 

MON-FRI After 5/6 PM
(For Member): Free, (For Public): $2.15/entry from 5pm to 12midnight 

SAT
$0.80/30min with max of $12.80 from 6am to 12midnight 

SUN / PUBLIC HOLIDAYS
$0.80/30min with max of $12.80 from 6am to 12midnight 

REMARKS
No charges from 12 midnight to 6am daily 

"
702,North Bridge Centre,420 North Bridge Road,188727,"MON-FRI Before 5/6 PM
$1.50/30min from 8am to 4.59pm 

MON-FRI After 5/6 PM
$4.00/entry from 5pm to 11pm 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$4.00/entry from 8am to 11pm 

"
703,Ayer Rajah Industrial Estate,Ayer Rajah Crescent,,"MON-FRI Before 5/6 PM
$1.00/30min from 7am to 6pm 

MON-FRI After 5/6 PM
$1.00/entry from 6pm to 7am the following day 

SAT
$1.00/entry from 7am to 7am the following day 

SUN / PUBLIC HOLIDAYS
$1.00/entry from 7am to 7am the following day 

REMARKS
10min grace period 

"
704,Civil Service Club (Changi Clubhouse),2 Netheravon Road,508503,"MON-FRI Before 5/6 PM
(For Member): $1.00/hr from 6am to 6pm, (For Public): $2.40 for 1st hr, $0.60 for next subsequent 15min from 6am to 6am the following day 

MON-FRI After 5/6 PM
(For Member): $1.80/entry from 6pm to 3am the following day, $1.50/hr from 3am to 6am (For Public): $2.40 for 1st hr, $0.60 for next subsequent 15min from 6am to 6am the following  

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
705,Da Jin Factory Building,362 Upper Paya Lebar Road,534963,"MON-FRI Before 5/6 PM
$1.33/hr from 8am to 4.59pm 

MON-FRI After 5/6 PM
$1.63/entry from 5pm to 10pm, Car Park closed after 10pm 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Closed 

REMARKS
Season Parking At $50.95/mth 

"
706,Millage,55 Changi Road,419709,"MON-FRI Before 5/6 PM
$1.20 for 1st hr, $0.60 for next subsequent 30min or part thereof 

MON-FRI After 5/6 PM
$1.20 for 1st hr, $0.60 for next subsequent 30min or part thereof 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period 

"
707,Singapore-Johore Factory,51 Kampong Bugis,338986,"MON-FRI Before 5/6 PM
$1.30/hr from 8am to 4.59pm 

MON-FRI After 5/6 PM
$1.60/entry from 5pm to 7.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Closed 

REMARKS
10min grace period 

"
708,Bedok Shopping Complex,348 Bedok Road,469535,"MON-FRI Before 5/6 PM
$1.20/hr from 7am to 2pm 

MON-FRI After 5/6 PM
$1.50/hr from 2pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
709,Balestier Towers,207 Balestier Road,329683,"MON-FRI Before 5/6 PM
$1.50/hr from 8am to 4.59pm 

MON-FRI After 5/6 PM
$2.75/entry from 5pm to 7.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Carpark closed on Sundays 

"
710,HDB Blk 131 / 134 / 132 (Jurong East St 13),Blk 131,13,"MON-FRI Before 5/6 PM
HDB / URA parking rates from 7am to 10.29pm 

MON-FRI After 5/6 PM
HDB / URA parking rates, up to a maximum charge of $5.00 from 10.30pm to 6.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Season Parking At $80.00/mth (Blk 131 / 134), $110.00/mth (Blk 132), 15min grace period 

"
711,HDB Blk 4A / 6A (Woodlands Centre Road),4A Woodlands Centre Road,731004,"MON-FRI Before 5/6 PM
HDB / URA parking rates from 7am to 10.29pm 

MON-FRI After 5/6 PM
HDB / URA parking rates, up to a maximum charge of $2.00 from 10.30pm to 12.59am, $2.00/entry from 1am to 6.59am 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Season Parking At $80.00/mth, 15min grace period 

"
712,HDB Blk 8A (Empress Rd),8A Empress Road,261008,"MON-FRI Before 5/6 PM
HDB / URA parking rates from 7am to 10.29pm 

MON-FRI After 5/6 PM
HDB / URA parking rates, up to a maximum charge of $2.00 from 10.30pm to 12.59am the following day, $2.00/entry from 1am to 6.59am 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Multi-Storey Car Park 

"
713,JTC Tuas Amenity Centre,71 Pioneer Road,639591,"MON-FRI Before 5/6 PM
$0.50/30min from 7am to 10.30pm  

MON-FRI After 5/6 PM
$0.50/30min from 7am to 10.30pm  

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Closed 

REMARKS
Season Parking At $65.00/mth, 15min grace period 

"
714,JTC Blk 8 / 12 Lorong Bakar Batu,8 Lorong Bakar Batu,348743,"MON-FRI Before 5/6 PM
$0.50/30min from 7am to 11pm 

MON-FRI After 5/6 PM
$0.50/30min from 7am to 11pm 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Closed 

REMARKS
Season Parking At $45.00/mth, 10min grace period 

"
715,Biopolis,20 Biopolis Way,138668,"MON-FRI Before 5/6 PM
$1.20/hr from 7am to 5pm 

MON-FRI After 5/6 PM
Free parking from 5.01pm to 06.59am the following day 

SAT
Same charges as weekday 

SUN / PUBLIC HOLIDAYS
Same charges as weekday 

REMARKS
10min grace period 

"
716,The Capricorn,1 Science Park Road,117528,"MON-FRI Before 5/6 PM
$1.60 for 1st hr, $1.07 for next subsequent 30min from 7.30am to 7.30pm 

MON-FRI After 5/6 PM
Free parking from 7.30pm to 7.30am the following day  

SAT
Free parking 

SUN / PUBLIC HOLIDAYS
Free parking 

REMARKS
10min grace period (Basement), 30min grace period (Loading) 

"
717,Fajar Shopping Centre,445 Fajar Road,670445,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 6pm 

MON-FRI After 5/6 PM
$0.60/30min up to a maximum charge of $1.50 from 6pm to 10.30pm, $0.60/30min up to a maximum charge of $5.00 from 10.30pm to 7am the following day 

SAT
$0.60/30min up to a maximum charge of $1.50 from 7am to 10.30pm, $0.60/30min up to a maximum charge of $5.00 from 10.30pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$0.60/30min up to a maximum charge of $1.50 from 7am to 10.30pm, $0.60/30min up to a maximum charge of $5.00 from 10.30pm to 7am the following day 

REMARKS
10min grace period not applicable during per entry period 

"
718,Balestier Warehouse,12A Jalan Ampas,329516,"MON-FRI Before 5/6 PM
$1.50 for 1st hr, $1.50 for next subsequent 30min from 8am to 5pm 

MON-FRI After 5/6 PM
$1.50 for 1st hr, $1.50 for next subsequent 30min from 5pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
719,Techplace 1,4008 Ang Mo Kio Avenue 10,569625,"MON-FRI Before 5/6 PM
$0.92 for 1st hr, $1.12 for next subsequent hr from 8am to 5pm 

MON-FRI After 5/6 PM
$1.74/entry from 5pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Closed 

REMARKS
10min grace period 

"
720,Coronation Shopping Plaza,587 Bukit Timah Road,269707,"MON-FRI Before 5/6 PM
$2.30/hr from 7am to 7am the following day 

MON-FRI After 5/6 PM
$2.30/hr from 7am to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
No grace period 

"
721,Hong Leong Garden Shopping Centre,228 West Coast Way,,"MON-FRI Before 5/6 PM
$1.21/hr from 8am to 5pm 

MON-FRI After 5/6 PM
$1.72/entry from 5pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$1.72/entry 

REMARKS
10min grace period 

"
722,Serene Centre,10 Jalan Serene,258748,"MON-FRI Before 5/6 PM
$1.80 for 1st hr, $1.80 for next subsequent 30min from 4.01am to 9.59pm 

MON-FRI After 5/6 PM
$3.21/entry from 10pm to 4am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Season Parking At $152.86/mth, 15min grace period, No overnight parking 

"
723,Jurong Theatre,101 Yung Sheng Road,618497,"MON-FRI Before 5/6 PM
$1.60/hr from 8am to 8.59pm 

MON-FRI After 5/6 PM
$3.00/entry from 9pm to 7.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 8am to 7.59am the following day 

REMARKS
10min grace period 

"
724,Apex @ Henderson,201 Henderson Road,159545,"MON-FRI Before 5/6 PM
$1.50/hr from 7am to 6pm 

MON-FRI After 5/6 PM
$2.50/entry from 6pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$2.50/entry from 7am to 7am the following day 

"
725,Henderson Industrial Park Blk 203,203 Henderson Road,159546,"MON-FRI Before 5/6 PM
$1.40/hr from 8am to 4.59pm 

MON-FRI After 5/6 PM
$1.70/entry from 5pm to 7.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.50/entry from 8am to 8am the following day 

REMARKS
5min grace period 

"
726,Savoy Theatre,90 Boon Lay Place,238834,"MON-FRI Before 5/6 PM
$1.20/hr from 8am to 5pm for cars, $6.80/entry from 8am to 5pm for commercial vehicles 

MON-FRI After 5/6 PM
$3.00/entry from 5.01pm to 7.59am the following day for cars, $13.00/entry from 5.01pm to 7.59am the following day for commercial vehicles 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 8am to 7.59am the following day for cars, $13.00/entry from 8am to 7.59am the following day for commercial vehicles 

"
727,Young Women Christian Association (YWCA) Fort Canning Lodge,6 Fort Canning Road,179494,"MON-FRI Before 5/6 PM
$1.60 for 1st hr, $0.90 for next subsequent 30min from 8am to 5pm  

MON-FRI After 5/6 PM
$2.50/entry from 5pm to 8am the following day 

SAT
Charges same as weekdays but $2.50/entry from 12.01pm to 5pm, $2.50/entry from 5pm to 8am the following day 

SUN / PUBLIC HOLIDAYS
$3.30/entry from 8.01am to 8am the following day 

"
728,York Hotel,21 Mount Elizabeth,228516,"MON-FRI Before 5/6 PM
$3.00 for 1st hr, $1.50 for next subsequent 30min from 8.01am to 6pm 

MON-FRI After 5/6 PM
$4.00/entry from 6.01pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$4.00/entry from 8am to 7.59am the following day 

"
729,Yishun 10,51 Yishun Central 1,768794,"MON-FRI Before 5/6 PM
$1.28 for 1st hr, $0.40 for next subsequent 15min from 7am to 5.59pm 

MON-FRI After 5/6 PM
$2.57/entry from 6pm to 6.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
$2.05 additional surcharge shall apply from 3am to 6.59am 

"
